0.504,0.420,0.668,0.630,0.881,2.024,1,12-10-10:17:38
0.202,0.808,2.372,0.139,1.545,1.502,1,12-10-10:17:38
1.133,0.264,0.203,0.169,1.117,1.206,1,12-10-10:17:38
1.351,1.050,1.241,0.235,0.222,0.827,1,12-10-10:17:38
1.724,2.543,0.319,0.235,0.222,0.827,1,12-10-10:17:38
0.714,1.505,1.071,0.273,1.354,0.339,1,12-10-10:17:38
3.084,0.906,1.200,0.555,1.602,1.242,1,12-10-10:17:38
2.285,0.233,1.558,1.104,0.791,2.022,1,12-10-10:17:38
0.720,3.597,2.641,1.803,0.685,2.735,1,12-10-10:17:38
2.792,2.620,0.692,1.956,1.366,3.513,1,12-10-10:17:38
2.549,0.195,0.251,1.573,1.363,3.787,1,12-10-10:17:38
1.741,1.135,0.010,0.939,0.942,3.635,1,12-10-10:17:38
2.002,0.496,1.109,0.447,0.624,3.469,1,12-10-10:17:38
1.504,0.026,0.657,0.340,0.413,3.206,1,12-10-10:17:38
1.214,0.387,1.013,0.340,0.413,3.206,1,12-10-10:17:38
0.731,0.648,0.852,1.041,0.721,2.497,1,12-10-10:17:39
0.001,0.769,0.238,0.638,0.597,1.893,1,12-10-10:17:39
0.152,1.785,0.639,0.076,0.300,1.216,1,12-10-10:17:39
0.118,1.053,0.452,0.546,0.114,0.326,1,12-10-10:17:39
1.559,0.633,0.558,0.793,0.269,1.085,1,12-10-10:17:39
1.543,1.675,0.203,1.014,0.646,2.620,1,12-10-10:17:39
3.797,1.075,2.532,1.014,0.646,2.620,1,12-10-10:17:39
4.548,1.770,0.382,1.428,0.526,3.914,1,12-10-10:17:39
0.681,1.710,2.367,0.795,0.742,4.122,1,12-10-10:17:39
0.740,1.877,1.881,1.382,0.687,3.382,1,12-10-10:17:39
0.539,2.277,0.845,1.382,0.687,3.382,1,12-10-10:17:39
1.025,1.992,1.355,0.521,1.263,2.989,1,12-10-10:17:39
0.744,1.404,0.186,0.521,1.263,2.989,1,12-10-10:17:39
0.393,0.123,0.445,0.502,1.035,1.808,1,12-10-10:17:39
0.782,0.523,0.042,0.542,1.096,1.127,1,12-10-10:17:39
0.957,0.600,0.099,0.589,1.076,0.900,1,12-10-10:17:39
1.945,1.585,0.086,0.347,0.434,0.747,1,12-10-10:17:39
2.406,1.647,0.057,0.020,0.598,0.381,1,12-10-10:17:39
0.062,0.122,1.550,0.020,0.598,0.381,1,12-10-10:17:39
2.489,1.471,1.055,0.033,1.295,0.351,1,12-10-10:17:39
1.311,1.065,1.740,0.396,0.088,2.220,1,12-10-10:17:39
1.594,3.714,1.268,0.396,0.088,2.220,1,12-10-10:17:39
2.991,2.304,0.222,0.617,0.487,3.997,1,12-10-10:17:39
2.799,0.770,1.346,0.007,0.436,4.164,1,12-10-10:17:39
2.325,1.029,0.543,0.339,0.412,3.762,1,12-10-10:17:39
2.170,0.777,0.545,0.514,1.394,3.343,1,12-10-10:17:40
1.400,0.190,0.259,0.052,1.124,3.044,1,12-10-10:17:40
1.393,0.091,1.966,0.949,0.266,2.658,1,12-10-10:17:40
0.676,0.032,0.206,1.051,0.219,2.186,1,12-10-10:17:40
1.051,0.382,0.544,1.051,0.219,2.186,1,12-10-10:17:40
0.109,1.432,0.545,0.045,0.835,0.773,1,12-10-10:17:40
0.581,0.709,1.953,0.988,1.469,0.011,1,12-10-10:17:40
3.047,0.268,1.983,0.988,1.469,0.011,1,12-10-10:17:40
2.719,1.350,0.443,1.524,1.940,2.269,1,12-10-10:17:40
0.679,2.818,3.783,1.524,1.940,2.269,1,12-10-10:17:40
1.611,1.011,1.631,1.768,0.100,1.852,1,12-10-10:17:40
0.216,1.396,2.109,1.768,0.100,1.852,1,12-10-10:17:40
1.673,1.196,3.368,1.651,1.478,2.300,1,12-10-10:17:40
1.358,1.760,3.225,2.092,1.360,2.674,1,12-10-10:17:40
