2.145,0.636,0.998,1.145,0.437,0.451,1,12-10-10:32:24
0.754,0.174,2.224,1.348,0.576,0.081,1,12-10-10:32:24
0.358,0.340,0.221,1.133,0.513,0.106,1,12-10-10:32:24
1.024,1.369,1.014,0.836,0.651,0.297,1,12-10-10:32:24
0.243,0.473,0.159,0.641,0.595,0.396,1,12-10-10:32:24
0.133,0.806,1.199,0.394,0.649,0.560,1,12-10-10:32:24
1.916,1.580,1.591,0.366,0.655,0.633,1,12-10-10:32:24
0.601,0.463,0.224,0.357,1.017,0.448,1,12-10-10:32:25
0.981,1.342,0.142,0.004,1.394,0.195,1,12-10-10:32:25
1.118,0.504,0.290,0.213,1.724,0.047,1,12-10-10:32:25
0.045,2.502,0.276,0.062,1.632,0.066,1,12-10-10:32:25
1.033,2.071,0.725,0.104,1.596,0.075,1,12-10-10:32:25
0.342,0.393,0.566,0.296,1.624,0.087,1,12-10-10:32:25
0.070,1.075,0.977,0.398,1.757,0.178,1,12-10-10:32:25
0.363,1.336,0.086,0.238,1.680,0.118,1,12-10-10:32:25
0.122,1.293,0.148,0.017,1.311,0.028,1,12-10-10:32:25
0.272,0.815,0.576,0.206,1.166,0.050,1,12-10-10:32:25
0.748,2.434,0.809,0.083,0.913,0.081,1,12-10-10:32:25
1.225,1.490,0.144,0.179,0.512,0.090,1,12-10-10:32:25
0.398,2.490,3.142,0.258,0.226,0.111,1,12-10-10:32:25
0.169,3.312,1.165,0.098,0.061,0.118,1,12-10-10:32:25
0.530,0.123,2.302,0.554,0.154,0.124,1,12-10-10:32:25
1.099,1.945,1.866,0.434,0.306,0.022,1,12-10-10:32:25
0.493,0.965,0.611,0.052,0.512,0.120,1,12-10-10:32:25
1.008,2.172,0.386,0.284,0.562,0.203,1,12-10-10:32:25
1.248,1.361,0.038,0.107,0.509,0.238,1,12-10-10:32:25
0.830,0.008,0.615,0.078,0.433,0.076,1,12-10-10:32:25
